empty, local, static
117046934, 113122004, 113588849
115932824, 112470738, 112459913
111142800, 113010092, 113066970
108418681, 112677051, 112639201
118741060, 112906152, 111224822
114792699, 113629895, 111466625
116996261, 114091391, 110949015
116891328, 112372604, 112408319
108672874, 112415416, 111308641
116567736, 112567423, 112061571
115647655, 112333845, 112467676
108661574, 112535460, 112447488
108050002, 112419791, 111454174
116998448, 112383715, 112360873
107645860, 112314562, 111593059
112488032, 112851974, 112916760
110181580, 113517798, 119948394
108139885, 113226203, 111440633
116307722, 112600058, 111480687
108903030, 113139128, 112646574
115270984, 112549771, 110914355
110839798, 120634438, 118050824
117867599, 112434217, 111742544
117129379, 114131320, 110567234
108002626, 112438785, 112489399
115754455, 112463483, 112007577
107894895, 112885015, 112501197
114764767, 119147390, 110707282
108370231, 112508078, 111437971
115944021, 113266834, 111996521
113811131, 112910947, 111269541
107974999, 112813231, 111573495
115660376, 112476921, 111464584
108057511, 112530277, 111915095
116367250, 112508818, 110784129
108256580, 113528816, 112378954
116655991, 113136181, 112369557
108528518, 112657061, 112984297
120774467, 113484222, 111584613
110311835, 112610996, 111556276
116887654, 112412384, 111825886
108164506, 113237212, 111012251
117537714, 113035291, 112056543
108287099, 112542956, 112757650
117095765, 112251180, 112048484
116011457, 112317863, 111777743
110278654, 113077783, 111814027
110648727, 112418945, 111677191
116754325, 112856494, 111520539
107748511, 113866052, 112520202
116997683, 112133592, 110406525
108144830, 112354394, 111868479
116304386, 112629933, 111418403
110369469, 112431077, 112488362
111658530, 112559813, 111568823
110824757, 112167734, 112248949
107673658, 112456443, 111793730
110326644, 112501358, 112217768
108707609, 112126302, 111821343
110827703, 112246697, 112147084
110727010, 112447872, 112996351
110073504, 112911594, 111480614
108933383, 112241824, 111764141
116483700, 112495223, 112878560
107964936, 112853333, 111567957
114395711, 112806640, 111931986
109315443, 113000987, 113207881
114727615, 112326762, 112231934
115374023, 112977023, 111550491
116045275, 112660469, 110613743
114889206, 112492593, 111501265
110553022, 112738838, 112817368
116311410, 112858915, 111260532
109376496, 112220974, 111198361
110474490, 112960695, 111829038
110636597, 112348819, 112344154
114982020, 113048045, 112313888
122204038, 112706028, 111839099
108702153, 112722826, 111639207
114533647, 112566398, 117357707
117203859, 112422055, 111717062
116897789, 112826683, 111829005
107817748, 112423067, 112186485
108585464, 112777196, 112193671
115484252, 112669049, 112005492
111331749, 114289474, 115635758
115617067, 112358936, 111137972
116773470, 112558160, 112096389
109039833, 112955637, 111959071
115766270, 113273426, 112084722
108150268, 113265606, 113187641
108476315, 112362851, 112093308
115921664, 112657234, 112561009
108503977, 112619061, 112902050
120350006, 115627206, 113894284
108594326, 113240450, 112219498
117354792, 112680988, 110762280
116615242, 112646770, 111679571
108351114, 113076685, 112277875
110771818, 112671862, 111536768
