empty, local, static
106140609, 112514139, 108512166
105125577, 111747855, 107826522
113308245, 110515618, 107903872
112020236, 111495161, 107604368
104820181, 111918324, 107966354
104241677, 112560841, 107923926
112139180, 112251647, 107679918
106487128, 111288652, 107970046
113363979, 111961533, 108409079
114185454, 112239344, 107517562
104591778, 111918012, 107453478
104824245, 111356730, 107703288
104569863, 110869570, 107853310
113858896, 111262958, 107746273
104628119, 111395066, 107742285
105076645, 113514299, 107930020
120538830, 115556228, 108563920
114017213, 111247584, 109854638
105364042, 112775126, 108664241
109629926, 112152357, 108368015
113297438, 111971330, 107959350
104609046, 112350730, 107821510
104989206, 112493000, 108571052
113620598, 110794548, 107860527
112747874, 111163745, 107955101
108497643, 112599400, 108209263
107193757, 111203518, 107893903
113991522, 110822547, 107562503
106545508, 112103139, 109011703
105714058, 112120752, 108529423
114310487, 110396634, 110879182
105377403, 112028100, 108648760
106338229, 111867602, 108638660
105247402, 112517199, 107869471
114508768, 112134750, 107755973
114433176, 111851416, 107786988
106380031, 112738272, 108156590
114162441, 112563862, 107550511
105252273, 112545680, 108100039
112750677, 111054369, 107595335
105463016, 111677872, 107891068
105737859, 112690935, 108186647
105685113, 112906625, 107897634
107033661, 111459494, 107716443
104981052, 112071243, 108008635
104605502, 111689137, 107743729
104609264, 111813230, 108235227
104352932, 111189949, 107907488
113485897, 110642686, 107577553
119824073, 110799372, 111518033
113331130, 112347014, 107202931
120152410, 114918402, 107615402
113576112, 110850442, 107361381
104800297, 112282725, 107576534
104955832, 112484654, 107733957
114738971, 111343396, 107531637
105270777, 110516627, 107734909
112644264, 111698166, 107184636
105300338, 111453700, 107657343
105474865, 113599006, 107787603
106583072, 112182461, 107502864
113519285, 110061891, 107485829
107497898, 112230747, 107659349
105446850, 112179986, 107857179
106242072, 111415222, 108509899
114497085, 111617958, 108091710
107702184, 111592909, 107584182
112460375, 111615287, 107619446
113501889, 111687494, 107597076
104272042, 112058896, 107798269
112266176, 110124473, 107189980
113824902, 112269741, 108900410
113939754, 112788272, 107619542
107594641, 110337736, 108192542
104111980, 110855177, 107423199
113462158, 112264592, 108241197
105094404, 111691130, 107738311
106230245, 111599324, 108533111
113706895, 110207239, 107780818
105858680, 111127699, 108391620
114456213, 110543759, 107223467
106706536, 111405234, 107488746
107736999, 111210346, 108257817
105642971, 112148118, 109178257
104975276, 112477012, 108911578
104915223, 112375080, 108279823
107359648, 111915652, 107912372
112410416, 110483871, 107700778
114638244, 112166161, 107431714
108208008, 113559582, 107753706
104875719, 112248705, 107667340
114530302, 112011774, 108340289
113687875, 112074203, 107488657
107239855, 110980834, 107943381
104591093, 112027325, 107954408
113635914, 112188838, 107844823
107410136, 111196584, 107817299
113444727, 111127476, 107725226
104707107, 112364035, 107815894
112655084, 111810326, 107864607
